Country,StateUSA,Info,City
España,"Fuenlabrada,","{('5G', '71689730', '103'): {'MeanLatency': nan, 'MeanThroughput': 32.61097200000001}, ('LTE', '71689730', '103'): {'MeanLatency': nan, 'MeanThroughput': 20.220585714285715}, ('LTE', '72486914', '85'): {'MeanLatency': 60.65454545454545, 'MeanThroughput': 21.625687499999998}}",Fuenlabrada
Denmark,1704,"{('LTE', '41294356', '304'): {'MeanLatency': nan, 'MeanThroughput': 39.0507275862069}, ('LTE', '41294346', '303'): {'MeanLatency': 40.35454545454546, 'MeanThroughput': 50.2435222222222}}",København
Denmark,2820,"{('LTE', '44136980', '283'): {'MeanLatency': 37.14545454545454, 'MeanThroughput': 24.178486407766993}}",Gentofte
España,"Alarcón,","{('LTE', '72657411', '314'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '72759561', '206'): {'MeanLatency': nan, 'MeanThroughput': 2.7099813559322032}, ('LTE', '74065160', '379'): {'MeanLatency': 55.690909090909095, 'MeanThroughput': 2.963186956521739}}",Alarcón
España,28023,"{('5G', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 1.6644738095238096}, ('LTE', '72630019', '158'): {'MeanLatency': nan, 'MeanThroughput': 10.486133333333333}, ('LTE', '72630187', '363'): {'MeanLatency': 50.845454545454544, 'MeanThroughput': 7.864125}}",Madrid
,,"{('LTE', '72630017', '156'): {'MeanLatency': 51.54545454545455, 'MeanThroughput': 0.29961642857142856}}",
España,"Fortuna,","{('LTE', '73985537', '428'): {'MeanLatency': 75.53636363636363, 'MeanThroughput': 31.35504368932038}}",Fortuna
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 50.1, 'MeanThroughput': 21.28257033898306}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
Denmark,2450,"{('LTE', '41857155', '11'): {'MeanLatency': 122.4, 'MeanThroughput': 0.6419993197278911}}",København
Portugal,4050,"{('LTE', '550953', '327'): {'MeanLatency': 67.15454545454546, 'MeanThroughput': 16.84216548672567}}",Porto
Denmark,2450,"{('LTE', '41857155', '11'): {'MeanLatency': 60.24545454545455, 'MeanThroughput': 6.9789744827586215}}",København
,,"{('5G', '71920131', '38'): {'MeanLatency': 59.863636363636374, 'MeanThroughput': 63.30558598130843}, ('LTE', '71920131', '38'): {'MeanLatency': nan, 'MeanThroughput': nan}}",
Norway,0565,"{('5G', '51662597', '87'): {'MeanLatency': 47.42727272727273, 'MeanThroughput': 126.63627692307689}, ('LTE', '51662597', '87'): {'MeanLatency': nan, 'MeanThroughput': nan}}",kommune
España,"Leganés,","{('5G', '72756737', '432'): {'MeanLatency': 48.3, 'MeanThroughput': 11.684373571428564}, ('LTE', '72756737', '432'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Leganés
España,28029,"{('5G', '73498114', '502'): {'MeanLatency': nan, 'MeanThroughput': 51.890220560747636}, ('LTE', '73498114', '502'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '71708673', '414'): {'MeanLatency': 50.35454545454545, 'MeanThroughput': 36.699000000000005}, ('LTE', '71708673', '414'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
Norway,0851,"{('LTE', '17015041', '303'): {'MeanLatency': 60.181818181818194, 'MeanThroughput': 43.53645196078433}}",kommune
España,28029,"{('LTE', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 1.57288}, ('5G', '73704961', '300'): {'MeanLatency': nan, 'MeanThroughput': 22.619285714285713}, ('5G', '73808385', '303'): {'MeanLatency': 48.654545454545456, 'MeanThroughput': 13.631516000000001}, ('LTE', '73808385', '303'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28029,"{('5G', '72629761', '145'): {'MeanLatency': 109.26363636363635, 'MeanThroughput': 4.71853}, ('LTE', '72629761', '145'): {'MeanLatency': nan, 'MeanThroughput': 4.107455000000001}, ('LTE', '72578819', '488'): {'MeanLatency': nan, 'MeanThroughput': 6.61709761904762}, ('5G', '72578819', '488'): {'MeanLatency': nan, 'MeanThroughput': 8.738352380952382}}",Madrid
España,28048,"{('LTE', '72091143', '219'): {'MeanLatency': 66.39090909090909, 'MeanThroughput': 12.878260194174755}}",Madrid
Italy,Torino,"{('LTE', '0', '18'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '230516993', '244'): {'MeanLatency': 37.82727272727272, 'MeanThroughput': 55.358722549019596}}",Torino
Canada,V3B,"{('LTE', '28328232', '15'): {'MeanLatency': nan, 'MeanThroughput': 12.815999999999999}, ('LTE', '53823019', '84'): {'MeanLatency': 62.33636363636365, 'MeanThroughput': 32.388065624999996}}",Coquitlam
Norway,0572,"{('LTE', '17015041', '303'): {'MeanLatency': 58.39090909090908, 'MeanThroughput': 105.99932475247529}}",kommune
España,28035,"{('5G', '73604865', '397'): {'MeanLatency': 39.6, 'MeanThroughput': 24.299226923076922}, ('LTE', '73604865', '397'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73678850', '64'): {'MeanLatency': 44.739999999999995, 'MeanThroughput': nan}, ('LTE', '73678850', '64'): {'MeanLatency': nan, 'MeanThroughput': nan}}",Madrid
España,28034,"{('LTE', '73704964', '300'): {'MeanLatency': 60.21818181818182, 'MeanThroughput': 5.122771755725192}}",Madrid
España,28024,"{('LTE', '73603843', '188'): {'MeanLatency': 46.275, 'MeanThroughput': 36.54440396039604}, ('LTE', '73603841', '186'): {'MeanLatency': 51.36666666666667, 'MeanThroughput': nan}}",Madrid
España,"Fortuna,","{('LTE', '73985555', '428'): {'MeanLatency': 475.84999999999997, 'MeanThroughput': 1.0708422535211268}, ('LTE', '73985537', '428'): {'MeanLatency': 51.2, 'MeanThroughput': nan}, ('LTE', '72531202', '122'): {'MeanLatency': 57.12500000000001, 'MeanThroughput': nan}}",Fortuna
España,28029,"{('LTE', '73704964', '300'): {'MeanLatency': 77.10909090909091, 'MeanThroughput': 3.7845609022556386}}",Madrid
España,"Leganés,","{('LTE', '72531202', '122'): {'MeanLatency': 55.67272727272727, 'MeanThroughput': 17.50664695652174}}",Leganés
España,28023,"{('LTE', '72275207', '159'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '72275207', '159'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('5G', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': 10.769683783783783}, ('LTE', '73166594', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': 5.370885365853658}, ('5G', '73144322', '31'): {'MeanLatency': nan, 'MeanThroughput': 5.584713043478262}, ('LTE', '73166600', '301'): {'MeanLatency': 93.4, 'MeanThroughput': nan}, ('5G', '73166600', '301'): {'MeanLatency': nan, 'MeanThroughput': nan}, ('LTE', '73166595', '302'): {'MeanLatency': 51.35, 'MeanThroughput': nan}}",Madrid
